Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Khaleel Ahmed, Visakhapatnam,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Bat_First,Delhi Capitals,20 Runs,Runs,192,13,2024
League,Trent Boult, Wankhede,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,6 Wickets,Wickets,126,14,2024
League,Mayank Yadav, Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field_First,Lucknow Super Giants,28 Runs,Runs,182,15,2024
League,Sunil Narine, Visakhapatnam,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Bat_First,Kolkata Knight Riders,106 Runs,Runs,273,16,2024
League,Shashank Singh, Ahmedabad,Gujarat Titans,Punjab Kings,Punjab Kings,Field_First,Punjab Kings,3 Wickets,Wickets,200,17,2024
League,Abhishek Sharma, Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Sunrisers Hyderabad,6 Wickets,Wickets,166,18,2024
League,Jos Buttler, Jaipur,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,6 Wickets,Wickets,184,19,2024
League,Romario Shepherd, Wankhede,Mumbai Indians,Delhi Capitals,Delhi Capitals,Field_First,Mumbai Indians,29 Runs,Runs,235,20,2024
League,Yash Thakur, Lucknow,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Bat_First,Lucknow Super Giants,33 Runs,Runs,164,21,2024
League,Ravindra Jadeja, Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,7 Wickets,Wickets,138,22,2024
League,Nitish Kumar Reddy, Mullanpur,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field_First,Sunrisers Hyderabad,2 Runs,Runs,183,23,2024
